,long_name_x,long_name_y,source,target
1,"Swanson, Rebecca D.","Hinojosa, Leighanna",0,1
2,"Swanson, Rebecca D.","Polman, Joseph L",0,2
3,"Hinojosa, Leighanna","Swanson, Rebecca D.",1,0
5,"Hinojosa, Leighanna","Polman, Joseph L",1,2
6,"Polman, Joseph L","Swanson, Rebecca D.",2,0
7,"Polman, Joseph L","Hinojosa, Leighanna",2,1
10,"Huang, Joey","Tolar, Erin",3,4
11,"Huang, Joey","Silver, Cindy Hmelo",3,5
12,"Huang, Joey","Sabanovic, Selma",3,6
13,"Tolar, Erin","Huang, Joey",4,3
15,"Tolar, Erin","Silver, Cindy Hmelo",4,5
16,"Tolar, Erin","Sabanovic, Selma",4,6
17,"Silver, Cindy Hmelo","Huang, Joey",5,3
18,"Silver, Cindy Hmelo","Tolar, Erin",5,4
20,"Silver, Cindy Hmelo","Sabanovic, Selma",5,6
21,"Sabanovic, Selma","Huang, Joey",6,3
22,"Sabanovic, Selma","Tolar, Erin",6,4
23,"Sabanovic, Selma","Silver, Cindy Hmelo",6,5
26,"Booth, Julie L.","Newton, Kristie J.",7,8
27,"Booth, Julie L.","Barbieri, Christina",7,9
28,"Newton, Kristie J.","Booth, Julie L.",8,7
30,"Newton, Kristie J.","Barbieri, Christina",8,9
31,"Barbieri, Christina","Booth, Julie L.",9,7
32,"Barbieri, Christina","Newton, Kristie J.",9,8
35,"Cohen, Jonathan","Margulieux, Lauren E",10,11
36,"Cohen, Jonathan","Renken, Maggie",10,12
37,"Cohen, Jonathan","Smith, Shaunna F",10,13
38,"Cohen, Jonathan","Jones, W. Monty",10,14
39,"Margulieux, Lauren E","Cohen, Jonathan",11,10
41,"Margulieux, Lauren E","Renken, Maggie",11,12
42,"Margulieux, Lauren E","Smith, Shaunna F",11,13
43,"Margulieux, Lauren E","Jones, W. Monty",11,14
44,"Renken, Maggie","Cohen, Jonathan",12,10
45,"Renken, Maggie","Margulieux, Lauren E",12,11
47,"Renken, Maggie","Smith, Shaunna F",12,13
48,"Renken, Maggie","Jones, W. Monty",12,14
49,"Smith, Shaunna F","Cohen, Jonathan",13,10
50,"Smith, Shaunna F","Margulieux, Lauren E",13,11
