,ref,file,length,initial,ref_parsed,year
0,"Abrahamson, D. (2012). Discovery reconceived: Product before process. For the Learning of Mathematics, 32(1), 815.",/import2016full/61,114,A,"Abrahamson, D. (2012)",2012.0
1,"Abrahamson, D. (2015). The monster in the machine, or why educational technology needs embodied design. In V. R. Lee (Ed.), Learning technologies and the body (pp. 21-38). New York: Routledge.",/import2016full/61,192,A,"Abrahamson, D. (2015)",2015.0
2,"Abrahamson, D., Lee, R. G., Negrete, A. G., & Gutiérrez, J. F. (2014). Coordinating visualizations of polysemous action: Values added for grounding proportion. ZDM Math. Education, 46(1), 79-93.",/import2016full/61,194,A,"Abrahamson, D., Lee, R. G., Negrete, A. G., & Gutiérrez, J. F. (2014)",2014.0
3,"Abrahamson, D., & Sánchez-García, R. (in press). Learning is moving in new ways: The ecological dynamics of mathematics education. Journal of the Learning Sciences. doi:10.1080/10508406.2016.1143370.",/import2016full/61,199,A,"Abrahamson, D., & Sánchez-García, R. (in press)",2018.0
4,"Abrahamson, D., Shayan, S., Bakker, A., & Van der Schaaf, M. F. (in press). Eye-tracking Piaget: Capturing the emergence of attentional anchors in the coordination of proportional motor action. Human Development.",/import2016full/61,212,A,"Abrahamson, D., Shayan, S., Bakker, A., & Van der Schaaf, M. F. (in press)",2018.0
5,"Abrahamson, D., & Trninic, D. (2015). Bringing forth mathematical concepts: Signifying sensorimotor enactment in fields of promoted action. ZDM Mathematics Education, 47(2), 295–306.",/import2016full/61,182,A,"Abrahamson, D., & Trninic, D. (2015)",2015.0
6,"Allen, J. W. P., & Bickhard, M. H. (2013). Stepping off the pendulum: Why only an action-based approach can transcend the nativist–empiricist debate. Cognitive Development, 28(2), 96-133.",/import2016full/61,187,A,"Allen, J. W. P., & Bickhard, M. H. (2013)",2013.0
7,"Bamberger, J. (2013). Discovering the musical mind: A view of creativity as learning. NYC: Oxford U. Press.",/import2016full/61,107,B,"Bamberger, J. (2013)",2013.0
8,"Bernstein, N. A. (1996). Dexterity and its development (M. L. Latash & M. T. Turvey, Eds.). Mahwah, NJ: LEA.",/import2016full/61,108,B,"Bernstein, N. A. (1996)",1996.0
9,"Case, R., & Okamoto, Y. (Eds.). (1996). The role of central conceptual structures in the development of children’s thought (Vol. 61[1-2], Serial No. 246). Chicago: University of Chicago Press.",/import2016full/61,192,C,"Case, R., & Okamoto, Y. (Eds.). (1996)",1996.0
10,"Chemero, A. (2009). Radical embodied cognitive science. Cambridge, MA: MIT Press.",/import2016full/61,81,C,"Chemero, A. (2009)",2009.0
11,"Chow, J. Y., Davids, K., Button, C., Shuttleworth, R., Renshaw, I., & Araújo, D. (2007). The role of nonlinear pedagogy in physical education. Review of Educational Research, 77(3), 251-278.",/import2016full/61,190,C,"Chow, J. Y., Davids, K., Button, C., Shuttleworth, R., Renshaw, I., & Araújo, D. (2007)",2007.0
12,"Cole, M., & Wertsch, J. V. (1996). Beyond the individual-social antinomy in discussions of Piaget and Vygotsky. Human Development, 39(5), 250-256.",/import2016full/61,146,C,"Cole, M., & Wertsch, J. V. (1996)",1996.0
13,"Denison, S., & Xu, F. (2014). The origins of probabilistic inference in human infants. Cognition, 130(3), 335347.",/import2016full/61,113,D,"Denison, S., & Xu, F. (2014)",2014.0
14,"Dubinsky, E. (1991). Reflective abstraction in advanced mathematical thinking. In D. Tall (Ed.), Advanced mathematical thinking (pp. 95-126). Dodrecht, The Netherlands: Kluwer Academic.",/import2016full/61,185,D,"Dubinsky, E. (1991)",1991.0
15,"diSessa, A. A., Levin, M., & Brown, N. J. S. (Eds.). (2015). Knowledge and interaction. New York: Routledge.",/import2016full/61,108,d,"diSessa, A. A., Levin, M., & Brown, N. J. S. (Eds.). (2015)",2015.0
16,"Forman, G. (1988). Making intuitive knowledge explicit through future technology. In G. Forman & P. B. Pufall (Eds.), Constructivism in the computer age (pp. 83-101). Hillsdale, NJ: Lawrence Erlbaum Associates.",/import2016full/61,210,F,"Forman, G. (1988)",1988.0
17,"Ginsburg, H. P. (1997). Entering the child’s mind. New York: Cambridge University Press.",/import2016full/61,88,G,"Ginsburg, H. P. (1997)",1997.0
18,"Gray, E., & Tall, D. (1994). Duality, ambiguity, and flexibility: A “proceptual” view of simple arithmetic. Journal for Research in Mathematics Education, 25(2), 116-140.",/import2016full/61,170,G,"Gray, E., & Tall, D. (1994)",1994.0
19,"Harnad, S. (1990). The symbol grounding problem. Physica D, 42, 335-346.",/import2016full/61,72,H,"Harnad, S. (1990)",1990.0
20,"Hutto, D. D., & Myin, E. (2013). Radicalizing enactivism: Basic minds without content. Cambridge: MIT Press.",/import2016full/61,108,H,"Hutto, D. D., & Myin, E. (2013)",2013.0
21,"Hutto, D. D., & Sánchez-García, R. (2015). Choking RECtified: Embodied expertise beyond Dreyfus. Phenomenology and the Cognitive Sciences, 14(2), 309-331.",/import2016full/61,154,H,"Hutto, D. D., & Sánchez-García, R. (2015)",2015.0
22,"Kelso, J. A. S., & Engstrøm, D. A. (2006). The complementary nature. Cambridge, MA: M.I.T. Press.",/import2016full/61,97,K,"Kelso, J. A. S., & Engstrøm, D. A. (2006)",2006.0
23,"Lave, J., & Wenger, E. (1991). Situated learning: Legitimate peripheral participation. NYC: CUP.",/import2016full/61,96,L,"Lave, J., & Wenger, E. (1991)",1991.0
24,"Lindgren, R., & Johnson-Glenberg, M. (2013). Emboldened by embodiment. Ed. Researcher, 42(8), 445-452.",/import2016full/61,102,L,"Lindgren, R., & Johnson-Glenberg, M. (2013)",2013.0
25,"Marshall, P., Antle, A. N., van den Hoven, E., & Rogers, Y. (Eds.). (2013). The theory and practice of embodied interaction in HCI and interaction design [Special issue]. ACM Transactions on Human–Computer Interaction, 20(1).",/import2016full/61,225,M,"Marshall, P., Antle, A. N., van den Hoven, E., & Rogers, Y. (Eds.). (2013)",2013.0
26,"Martin, T., & Sherin, B. (2013). Learning analytics and computational techniques for detecting and evaluating patterns in learning: An introduction to the special issue. Journal of the Learning Sciences, 22(4), 511520.",/import2016full/61,218,M,"Martin, T., & Sherin, B. (2013)",2013.0
27,"Moreno-Armella, L., Hegedus, S., & Kaput, J. (2008). From static to dynamic mathematics: Historical and representational perspectives. Educational Studies in Mathematics, 68(2), 99-111.",/import2016full/61,185,M,"Moreno-Armella, L., Hegedus, S., & Kaput, J. (2008)",2008.0
28,"Newell, K. M., & Ranganathan, R. (2010). Instructions as constraints in motor skill acquisition. In I. Renshaw, K. Davids, & G. J. P. Savelsbergh (Eds.), Motor learning in practice (pp. 17-32). Florence, KY: Routledge.",/import2016full/61,218,N,"Newell, K. M., & Ranganathan, R. (2010)",2010.0
29,"Newman, D., Griffin, P., & Cole, M. (1989). The construction zone. New York: Cambridge University Press.",/import2016full/61,104,N,"Newman, D., Griffin, P., & Cole, M. (1989)",1989.0
30,"Norton, A. (2008). Josh’s operational conjectures. J. for Research in Mathematics Education, 39(4), 401-430.",/import2016full/61,108,N,"Norton, A. (2008)",2008.0
