,file,subject,iso,uri,type,publisher,title,issued,accessioned,citation,available,abstract,value,author_name_length,author_order,shortend_names
0,import2015full_307,"['research questions', 'research methods', 'CSCL', 'relationship']",en,https://doi.dx.org/10.22318/cscl2015.307,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Research Questions and Research Methods in CSCL Research,2015-07,2017-06-19 14:15:51+00:00,"Jeong, H. & Hmelo-Silver, C. E. (2015). Research Questions and Research Methods in CSCL Research In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"While research questions play a critical role in research, their role has seldom been examined systematically. In this study, we examined what kinds of research questions are addressed in CSCL empirical research and what is the relationship between research questions and methods, in part using outcomes of an earlier analysis. The analysis showed that CSCL research has mainly focused on design and implementation of technological and/or curricular interventions. Research questions influenced research methods to a degree, although the relationships were not strict. The results confirmed, as well as contradicted, some of the intuitive conceptions about the relationship between research questions and methods. Implications for future CSCL research are discussed.
","Jeong, Heisawn",14,0,Jeong H.
1,import2015full_309,"['learning through design', 'location-based games', 'history learning', 'video analysis']",en,https://doi.dx.org/10.22318/cscl2015.309,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Students’ Design Decisions in Collaborative Design of Location-Based Games for Learning,2015-07,2017-06-19 14:15:51+00:00,"Wake, J. D., Guribye, F., & Wasson, B. (2015). Students’ Design Decisions in Collaborative Design of Location-Based Games for Learning In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"This paper describes a study of students designing location-based games for each other to learn history. A learning scenario was developed where groups of students create a game, receive and play another group’s game, and create a media product based on their experiences. We analyse the video footage of students collaboratively engaged with designing the games and highlight how the design process involves making practical decisions, and how the notion of the others – the students’ peers – feature in the group’s interaction. Furthermore, the analysis focuses on how the design process is coordinated and collaboratively organised, and involves translation of the source material into game information.
","Wake, Jo Dugstad",16,0,Wake J. D.
2,import2015full_391,"['sociometacognition', 'regulation of collaborative processes', 'assessment', 'discussion quality']",en,https://doi.dx.org/10.22318/cscl2015.391,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Activity Design Models to Support the Development of High Quality Collaborative Processes in Online Settings,2015-07,2017-06-19 14:15:51+00:00,"Borge, M., Ong, Y. S., & Rosé, C. P. (2015). Activity Design Models to Support the Development of High Quality Collaborative Processes in Online Settings In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"In this paper we assess the utility of an activity design model and different reflective activities for improving the quality of collaborative processes. Thirty-seven online students, belonging to one of 13 teams, formed the participants of the study. Teams completed five discussion sessions as part of required course activity, using one of two reflective conditions. Each team also received feedback on their performance. We assessed the quality of processes between groups using content analysis techniques. Team process measures at the first time point were used to identify groups’ initial strengths and weaknesses. To assess the utility of the model and reflective assessment designs, we used a 2x5 mixed factorial design, with Condition (two levels) as a between subjects factor and Time (5 levels) as a within subjects factor. We found that students were weakest at presenting and discussing claims and both Condition and Time are significant predictors of collaborative process quality. 
","Borge, Marcela",14,0,Borge M.
3,import2015full_150,"['touchscreens', 'embodied interaction', 'knowledge building', 'video analysis']",en,https://doi.dx.org/10.22318/cscl2015.150,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",“This Is the Size of One Meter”: Children’s Bodily-Material Collaboration and Understanding of Scale around Touchscreens,2015-07,2017-06-19 14:15:51+00:00,"Davidsen, J. & Ryberg, T. (2015). “This Is the Size of One Meter”: Children’s Bodily-Material Collaboration and Understanding of Scale around Touchscreens In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"In CSCL studies, language is often foregrounded as the primary resource for engaging in collaborative learning, while the body is more often positioned as a secondary resource. In this paper, we present, analyse and discuss how two nine-year-old children collaborate through gesturing and moving their bodies around a touchscreen. The pair is working with the concept of scale and are in midst of copying their rooms from paper to touchscreen. During this process, the pair engages in a discussion regarding the size of one meter through language, gestures and manipulation of the material resource. The analysis shows two distinct ways of understanding the length of one meter, which primarily is visible through the children’s gesturing and bodily movement. In conclusion, the analysis shows that children dynamically produce body-material resources for communicative and illustrative purposes; moreover, they use body-material as a cognitive tool and as a way of shepherding the other.
","Davidsen, Jacob",15,0,Davidsen J.
4,import2015full_192,"['assessment', 'learning', 'technology', 'collaborative inquiry']",en,https://doi.dx.org/10.22318/cscl2015.192,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Assessment and Collaborative Inquiry: A Review of Assessment-Based Interventions in Technology-Enhanced K-14 Education,2015-07,2017-06-19 14:15:51+00:00,"Yang, Y. & van Aalst, J. (2015). Assessment and Collaborative Inquiry: A Review of Assessment-Based Interventions in Technology-Enhanced K-14 Education In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"We provide a conceptual review of the research on assessment in technology-enhanced collaborative inquiry in K-14 education, published between 1994 and 2013. The 57 studies that satisfied our search criteria were coded using a framework that considered the nature of the assessment intervention, the purposes of the assessment intervention, and the role of technology in student learning. This allowed us to identify four types of assessment interventions. The findings indicated that only interventions in the immersion orientation seemed to help students learn how to learn. Such assessment practices enabled students to learn actively and to learn both disciplinary substance and metacognitive/regulative skills. However, relatively few studies clearly integrated assessment and learning. The main contributions of this study are the coding framework and the four patterns of assessment interventions. Together, they provide a new way of thinking about the design of practice. The review provides guidance for the shift of assessment practice to scaffold learning of this field.
","Yang, Yuqin",11,0,Yang Y.
5,import2015full_353,"['educational games', 'learning', 'design research', 'design frameworks']",en,https://doi.dx.org/10.22318/cscl2015.353,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Design in Game-Based Learning,2015-07,2017-06-19 14:15:51+00:00,"Gaydos, M. & Jan, M. (2015). Design in Game-Based Learning In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"Educational games have shown promise as a technology that can improve learning, and education, but research has yet to produce games that can consistently and sustainably fulfill this promise. One reason to the shortcomings of research may be that game based approaches, including design approaches, have thus far focused on developing domain-based theories and methods of research and design and have tended to neglect design frameworks. In this paper, we identify design as an area that will be necessary to study in order to develop effective educational games and suggest that literature begins by presenting failure in design in order to identify what needs to be improved. 
","Gaydos, Matthew",15,0,Gaydos M.
6,import2015full_105,"['music', 'intuitions', 'social negotiation']",en,https://doi.dx.org/10.22318/cscl2015.105,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",“That’s What Everyone Else Is Saying…”: Collaborative Reflection-in-Action during Creative Activities,2015-07,2017-06-19 14:15:51+00:00,"Downton, M. P. (2015). “That’s What Everyone Else Is Saying…”: Collaborative Reflection-in-Action during Creative Activities In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"With the progression of more user-friendly music production software packages (i.e., Apple’s GarageBand) and the importance of social media, learners are engaging with music without having any formal education on important musical concepts.  It has been suggested that novice music learners should start with what they know how to intuitively do already, which will allow them to move to more sophisticated musical concepts (e.g., notation, intervals).  However, music production is becoming more a group project than a solitary one in which everyone in a group has a voice.  A fourth grade classroom (N = 36) engaged in a music curriculum using the learning software Impromptu.  Findings suggest that when students are able to reflect-in-action, their reflections become building blocks for others in the group to use and add to their knowledge base.
","Downton, Michael P.",19,0,Downton M. P.
7,import2015full_158,"['CSCL dialogism', 'collaboration assessmenet', 'cohesion', 'voice inter-animation']",en,https://doi.dx.org/10.22318/cscl2015.158,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Dialogism: A Framework for CSCL and a Signature of Collaboration,2015-07,2017-06-19 14:15:51+00:00,"Dascalu, M., Trausan-Matu, S., Dessus, P., & McNamara, D. S. (2015). Dialogism: A Framework for CSCL and a Signature of Collaboration In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"As Computer Supported Collaborative Learning (CSCL) gains a broader usage in multiple educational scenarios facilitated by the use of technology, the need for automated tools capable of detecting and stimulating collaboration increases. We propose a computational model using ReaderBench that assesses collaboration from a dialogical perspective. Accordingly, collaboration emerges from the inter-twining of different points of view or, more specifically, from the inter-animation of voices pertaining to different speakers. Collaboration is determined from the intertwining or overlap of voices emitted by different participants throughout the ongoing conversation. This study presents a validation of this model consisting of a comparison between the output of our system and human evaluations of 10 chat conversations, selected from a corpus of more than 100 chats, in which Computer Science students debated on the advantages and disadvantages of CSCL technologies (e.g., chat, blog, wiki, forum, or Google Wave). The human evaluations of the degree of collaboration between the participants and the automated scores showed good overlap as measured by precision, recall, and F1 scores. Our overarching conclusion is that dialogism derived from the overlapping of voices can be perceived as a signature for collaboration.
","Dascalu, Mihai",14,0,Dascalu M.
8,import2015full_167,"['argumentation', 'group awareness', 'scripts', 'social networking sites']",en,https://doi.dx.org/10.22318/cscl2015.167,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",A Long-Term View on Learning to Argue in Facebook: The Effects of Group Awareness Tools and Argumentation Scripts,2015-07,2017-06-19 14:15:51+00:00,"Puhl, T., Tsovaltzi, D., & Weinberger, A. (2015). A Long-Term View on Learning to Argue in Facebook: The Effects of Group Awareness Tools and Argumentation Scripts In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"Social networking sites pose a new arena for argumentative practices and may provide an opportunity to facilitate, and understand argumentative processes in large scale over longer periods of time. Through apps, group awareness tools and argumentation scripts can be implemented in social networking sites, to provide additional, graphically visualized information, and prompt learners to formulate or review sound arguments. This 2×2 field study (N=105) examines how Facebook can be harnessed for argumentative learning through group awareness tools and argumentation scripts. We measure domain-specific knowledge outcomes, the process of argumentative knowledge construction and attitude change. The results show a main effect for both conditions on domain-specific knowledge and argumentative knowledge construction, but no difference to the control group on attitude change. The epistemic quality and formal quality increased for the groups with argumentation script. All observed changes become substantial after the fourth week of interactions.
","Puhl, Thomas",12,0,Puhl T.
9,import2015full_169,"['qualitative studies', 'digital resources', 'teaching and learning practices']",en,https://doi.dx.org/10.22318/cscl2015.169,Book chapter," International Society of the Learning Sciences, Inc. [ISLS].",Beyond Pedagogical Challenges: Addressing the Social Aspects around the Use of Digital Resources in University Education,2015-07,2017-06-19 14:15:51+00:00,"Rossitto, C., Hernwall, P., & Collin, J. (2015). Beyond Pedagogical Challenges: Addressing the Social Aspects around the Use of Digital Resources in University Education In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.",2017-06-19 14:15:51+00:00,"This article presents the results of a qualitative study in which the challenges of adopting and adapting digital media to the context of higher education were investigated. A workshop attended by university teachers and professional producers of educational video material was organized. The analysis draws attention to issues concerning the quality of digital media, the development of the professional skills required to produce and use them, and the orchestration of learning activities centered on such learning resources. The paper argues that understanding the challenges around the appropriation of digital media in educational settings encompasses the social and contextual aspects of the settings in which technology is to be used, and not merely the pedagogical concerns underlying its usage.
","Rossitto, Chiara",16,0,Rossitto C.
