,ref,file,ref_parsed,year,identifier
0,"Abrahamson, D. (2012). Discovery reconceived: Product before process. For the Learning of Mathematics, 32(1), 815.",import2016full/61,"Abrahamson, D. (2012)",2012.0,"Abrahamson, D. (2012). Discovery reconceived: Product before process"
1,"Abrahamson, D. (2015). The monster in the machine, or why educational technology needs embodied design. In V. R. Lee (Ed.), Learning technologies and the body (pp. 21-38). New York: Routledge.",import2016full/61,"Abrahamson, D. (2015)",2015.0,"Abrahamson, D. (2015). The monster in the machine, or why educational technology needs embodied design"
2,"Abrahamson, D., Lee, R. G., Negrete, A. G., & Gutiérrez, J. F. (2014). Coordinating visualizations of polysemous action: Values added for grounding proportion. ZDM Math. Education, 46(1), 79-93.",import2016full/61,"Abrahamson, D., Lee, R. G., Negrete, A. G., & Gutiérrez, J. F. (2014)",2014.0,"Abrahamson, D., Lee, R. G., Negrete, A. G., & Gutiérrez, J. F. (2014). Coordinating visualizations of polysemous action: Values added for grounding proportion"
3,"Abrahamson, D., & Sánchez-García, R. (in press). Learning is moving in new ways: The ecological dynamics of mathematics education. Journal of the Learning Sciences. doi:10.1080/10508406.2016.1143370.",import2016full/61,"Abrahamson, D., & Sánchez-García, R. (in press",,"Abrahamson, D., & Sánchez-García, R. (in press)"
4,"Abrahamson, D., Shayan, S., Bakker, A., & Van der Schaaf, M. F. (in press). Eye-tracking Piaget: Capturing the emergence of attentional anchors in the coordination of proportional motor action. Human Development.",import2016full/61,"Abrahamson, D., Shayan, S., Bakker, A., & Van der Schaaf, M. F. (in press",,"Abrahamson, D., Shayan, S., Bakker, A., & Van der Schaaf, M. F. (in press)"
5,"Abrahamson, D., & Trninic, D. (2015). Bringing forth mathematical concepts: Signifying sensorimotor enactment in fields of promoted action. ZDM Mathematics Education, 47(2), 295–306.",import2016full/61,"Abrahamson, D., & Trninic, D. (2015)",2015.0,"Abrahamson, D., & Trninic, D. (2015). Bringing forth mathematical concepts: Signifying sensorimotor enactment in fields of promoted action"
6,"Allen, J. W. P., & Bickhard, M. H. (2013). Stepping off the pendulum: Why only an action-based approach can transcend the nativist–empiricist debate. Cognitive Development, 28(2), 96-133.",import2016full/61,"Allen, J. W. P., & Bickhard, M. H. (2013)",2013.0,"Allen, J. W. P., & Bickhard, M. H. (2013). Stepping off the pendulum: Why only an action-based approach can transcend the nativist–empiricist debate"
7,"Bamberger, J. (2013). Discovering the musical mind: A view of creativity as learning. NYC: Oxford U. Press.",import2016full/61,"Bamberger, J. (2013)",2013.0,"Bamberger, J. (2013). Discovering the musical mind: A view of creativity as learning"
8,"Bernstein, N. A. (1996). Dexterity and its development (M. L. Latash & M. T. Turvey, Eds.). Mahwah, NJ: LEA.",import2016full/61,"Bernstein, N. A. (1996)",1996.0,"Bernstein, N. A. (1996). Dexterity and its development (M"
9,"Case, R., & Okamoto, Y. (Eds.). (1996). The role of central conceptual structures in the development of children’s thought (Vol. 61[1-2], Serial No. 246). Chicago: University of Chicago Press.",import2016full/61,"Case, R., & Okamoto, Y. (Eds.). (1996)",1996.0,"Case, R., & Okamoto, Y. (Eds.). (1996). The role of central conceptual structures in the development of children’s thought (Vol"
