,0
import2018_386,Leave Some Space to Think:
import2018_387,Student Engagement With Resources as Observable Signifiers of
import2018_384,Exploring How Students Learn Estimation Using a Modelling-based
import2018_385,Leveraging MOOCs for Blended Learning: Capturing Effective
import2018_382,Promoting Cognitive Processes of Knowledge Integration
import2018_383,Co-Designing Orchestration Support for Social Plane Transitions
import2018_380,"Collaborative, Multi-perspective Historical Writing: The Explanatory"
import2018_381,Eye Tracking Students’ Gazes on Feedback in a Digital Assessment
import2015short_141,Online Knowledge Communities
import2018_80,Teacher Practice Spaces: Examples and Design Considerations
import2018_81,Mapping Networks to Help Education Leaders Gain Insights Into
import2015short_146,A Multivocality Approach to Epistemic Agency
import2018_389,Rethinking TPACK in the Digital Age:
import2018_261,Cultivating Formative Intervention Research Partnerships in
import2018_210,Achievement Goals and Team Leadership in Online Small Group
import2018_263,Examining Primary Teacher Expertise and Agency in the
import2018_262,Developing Theory-Practice Understanding Through Online
import2018_265,Designing for Axiological Innovation Within Family-Centered
import2018_264,Towards a Radical Healing Praxis for Black Girls:
import2018_267,"Exploring the Adoption, Spread, and Sustainability of an Informal"
import2018_266,Video Data and the Learning Event: Four Case Studies
import2018_269,Knowledge Analysis Outside the STEM Classroom
import2018_268,The Challenge of Assessing “Knowledge in Use”: Examples from
import2015short_382,"How Did a Grade 5 Community Formulate Progressive, Collective"
import2017_52,The Impact of Peer Tutors’ Use of Indirect Feedback and
import2018_220,Using Classroom Video and Technology to Blend Teachers’
import2018_469,Assessment in a Digital Age:
import2016full_29,Designing the Idea Manager to Integrate STEM Content and
import2016full_28,Visual Augmentation of Deictic Gestures in MOOC Videos
import2016full_21,"Becoming an “Expert”: Gendered Positioning, Praise, and"
import2016full_20,Talking Back to the Future: Anatomy of Reflection as Collective
import2016full_23,Prior Knowledge for the Construction of a Scientific Model of
import2016full_22,Prior Knowledge and Mathematics Different Order Thinking Skills
import2016full_25,Teacher Learning in a Professional Learning Community: Potential
import2016full_24,A Knowledge Analytic Comparison of Cued Primitives When
import2016full_27,Writing Analytics for Epistemic Features of Student Writing
import2016full_26,No Lives Left: How Common Game Features Can Undermine
import2018_223,“Choose Your Own Adventure”:
import2018_468,Characterizing Chemistry Practices:
import2017_55,Cross-Community Interaction for Knowledge Building in Two Grade
import2018_179,Enhancing Reflective Learning Experiences in Museums Through
import2018_319,Problem Scoping in Designing Biomimetic Robots
import2018_388,How Learning Outcomes are Measured in Digital Learning
import2018_315,Enskilment in the Digital Age:
import2018_314,Enhancing Online Structured Dialogue During Teaching Internships
import2018_317,Child-Coach-Parent Network for Early Literacy Learning
import2018_316,Robots That Help: Moving Toward Human-Centered Designs
import2018_311,Secondary Students’ Model-Based Reasoning about Earth
import2018_310,Detecting Patterns of Dynamic Teacher-Learner Interactions in
import2018_313,What’s the Difference? A Closer Look at Idea-Centric Analysis of
import2018_312,Exploring Novice Approach to Conceptual Design of Software
import2018_71,Developing Assessments That Measure Core Ideas and Scientific
import2018_70,Measuring the Scale Outcomes of Curriculum Materials
import2018_73,Becoming Facilitators of Creative Computing in
import2015full_189,Learning about Collaborative Design for Learning
import2018_75,Augmenting Qualitative Analyses of Collaborative Learning Groups
import2018_74,A Climate of Support: A Process-Oriented Analysis of the Impact of
import2018_77,"“Ohhh, Now I Can Do It!”:"
import2018_260,Design Math: Middle-School Youth Making Math by Building Yurts
import2018_79,Interlacing Gaze and Actions to Explain the Debugging Process
import2018_78,"Teaching with a Fully Digital, Year-long Math Program:"
