,key_words_rak,key_words_tf_idf,titles,keywords_intext,year,final_keywords
0,"data included detailed observation notes,latecareer/retired community scientists frequently identified,maintaining rigorous protocol standards,daily maintenance tasks related,novice community scientists learn,collecting rigorous data,early/mid career community scientists,study related lab tasks,demographic survey results,complete rote tasks,existing institutional systems,scientific skill requisite,partitioned community scientists,consented community scientists,participating community scientists","community,lab,scientists,genetics,participation,museum,career,scientific,scientific practices,tasks,embedded,practices,institutional,skills,mid",Learning Scientific Practices Through Participation as a Volunteer,"community science, citizen science, apprenticeship learning, informal learning",2018,"set(['communit', 'task', 'institut', 'citizen sci', 'apprenticeship learn', 'lab', 'community sci', 'car', 'sci', 'informal learn'])"
1,"designing robot bodies class session,participants included ten eighth graders,time observational coding tool called,cordtra diagrams provided visual representations,collaborative data analysis sessions informed,generalized observation reporting protocol,helping learners make connections,50 minute daily class sessions,quickly generate cordtra diagragms,empirical social sciences research,develop engineering design practices,iterative video analysis—moving,collaborative engineering design practices,engineering design codes occurring,time coding tool provide","engineering design,engineering,macro,codes,video,diagrams,design,practices,real time,figure,coding,minute,video data,time,activities",Visualizing Complex Classrooms Through Real Time Observations,"visualization, video analysis, engineering design, human-centered robotics",2018,"set(['human-centered robot', 'tim', 'engin', 'video analysi', 'diagram', 'vis', 'pract', 'video', 'cod', 'design', 'minut', 'engineering design'])"
2,,"algebra,fractions,knowledge,th,year,grade,measures,assessed,items,mathematics,performance,problems,changes,number,crucial",Opening the Door to Algebra: The Role of Fraction Knowledge in,,2018,"set(['meas', 'cruc', 'numb', 'item', 'perform', 'mathem', 'knowledg', 'algebr', 'assess', 'fract', 'th', 'year', 'problem', 'grad', 'chang'])"
3,"methodologically rigorous psychometric scale,open card sorting task,cognitive characteristics important,minute instructional video,card sorting task,represent collaboration orientation,measures maker mindset,maker mindset instrument,point likert scale,reported speaking english,made agreement matrices,dimension collaboration orientation,makes sense based,fourth construct combines,maker mindset constructs","maker,constructs,dimension,construct,identified,scale,dimensions,orientation,attitude,represent,participants,growth,agree,certain,improvement",Measuring Maker Mindset: Establishing Content Validity With Card,,2018,"set(['dim', 'scal', 'ory', 'repr', 'construct', 'mak'])"
4,"final high school qualification grade,final mathematical argumentation skills test,final high school qualification,supporting problem solving processes,construct valid mathematical argumentations,adaptable collaboration script affect learner,low­structured script high­structured script,high school qualification grade,mathematical argumentation skills substantially,mathematical proofs typically requires,low achievers groups nested,beneficial collaborative learning processes,supported learning environment provided,sustainable social discursive process,test mathematical argumentation skills","script,argumentation,mathematical,skills,collaboration,structured,scripts,condition,low,regulation,learners,high,self,acquisition,arguments",Fostering University Freshmen’s Mathematical Argumentation,"mathematics, argumentation, collaboration scripts",2016,"set(['script', 'mathem', 'collaboration script', 'argu', 'collab', 'high', 'skil', 'low'])"
5,"leverage body based learning mechanisms,study methodology employed metaphorical analysis,metaphorical priming study design demonstrates,whilst metaphorical language typically refers,tangible technology/gesture recognition devices,embodied cognitive theoretical paradigm,based metaphors underpinning concepts,objects encapsulate fundamental questions,providing greater ecological validity,additive composition questions consecutively,action experiences significantly affect,ensure ecological validity,physical materials supports learning,bodily originating schemata,involve increasing levels","children,gestures,materials,explanation,condition,words,metaphor,gesture,number,st,physical,thinking,embodied,effect,line",The Effect of Concrete Materials on Children’s Subsequent,,2016,"set(['embod', 'mater', 'phys'])"
6,"low initial ei reported higher,data sources include survey assessments,trilingual aspiring mechanical engineer,focal sixth grade classroom,initially high versus low,sharing green ninja films,green ninja film academy,examine youth science identity construction,week middle school unit,including identifying correct characteristics,mitigate climate change impacts,pressing educational challenge,midwestern united states,qualitative field notes,preliminary analyses demonstrate","climate,identity,story,youth,agency,science,survey,environment,personal,characteristics,impacts,communities,population,construction,change",“My Favorite Part Is When We Tell the Truth”: Identity and Agency,,2018,"set(['impact', 'sci', 'construct', 'charact', 'survey', 'id', 'you', 'clim', 'chang'])"
7,"learning outcomes involved changing conceptions,unique intentions learners bring,emerging conceptualizations remained grounded,elementary computer lab manager,students develop metacognitive capacities,students solve problems differently,middle school computer science teacher,feels comfortable standing back,traditional metrics rarely capture teachers,free graphical programming environment,massive open online courses,maintained online design journals,online professional learning experience focused,creative computing online workshop,studies include content focus","teachers,professional development,scratch,professional,teacher,outcomes,course,development,teacher learning,experience,learning experience,online,experiences,workshop,changes",Expanding Outcomes: Exploring Varied Forms of Teacher,"teacher learning, professional development, learning outcomes, online learning, MOOCs",2016,"set(['onlin', 'mooc', 'learning outcom', 'professional develop', 'workshop', 'outcom', 'teacher learn', 'exper', 'teach', 'profess', 'online learn'])"
8,,"jane,teachers,representations,practice,framing,learning opportunities,facilitators,instruction,scaffold,forms,opportunities,planning,instructional,teacher,item",scaling-up ......................................................................................................................................................... 1074,"teacher workgroups, representations of practice, framings, learning opportunities,",2016,"set(['pract', 'instruct', 'form', 'fram', 'representations of practic', 'repres', 'jan', 'item', 'learning opportun', 'teacher workgroup', 'facilit', 'opportun', 'teach', 'scaffold', 'plan'])"
9,"commonly selected answer choices,launch emphasized helping students understand,provided additional representational resources,raising additional logistical concerns,vera considered multiple sources,eprs afforded richer otls,teachers gave superficial replays,teachers raised valid issues—,emphasized determining student thinking,demonstrated unusually high mathematical,experience supporting math teachers,teachers collectively develop concepts,workgroup conversations typically happen,move professional development closer,teachers began analyzing data","misconception,misconceptions,conceptual change,correct,confidence,plants,explanation,answer,revision,conceptual,conflict,activity,posttest,learners,change",Scaffolding Into Ambitious Teaching: Representations of,"conceptual change, self-explaining, misconception, refutation text, photosynthesis",2018,"set(['correct', 'plant', 'refutation text', 'posttest', 'act', 'rev', 'answ', 'conceptu', 'learn', 'expl', 'self-explain', 'chang', 'photosynthes', 'misconceiv', 'conceptual chang', 'conflict', 'confid'])"
10,"biology instructors wrote twelve paragraph,directly refuted relevant misconceptions contained,conceptual change retrieval practice activities,left side illustrates confidence,digitally presented content modules,conceptual change instruction investigates,assisted conceptual change instruction,instructional explanation directly refuted,misconception inventory items coupled,online retrieval practice activity,high confidence ratings distinguished,conceptual change instructional design,significantly higher posttest scores,refutation texts typically include,create 12 revision activity questions","collaborative learning,collaborative,innovation,examples,innovations,practice,effective,experts,group,practitioners,innovative,skills,activities,educational,learning activities",Revising Biology Misconceptions Using an Online Activity With,,2018,"set(['pract', 'group', 'expert', 'innov', 'collab', 'effect', 'practit', 'exampl', 'skil', 'collaborative learn', 'act', 'educ', 'learning act'])"
11,"importance rankings show great amount,fundamental cognitive schema underpinning,assess collaborative learning practice examples,taxonomic representation adaptive comparative,categorise eighty proposed innovations,collaborative learning consistently show,involved mixed gender groups,collaborative learning approaches lead,collaborative learning vary broadly,frequently graced expert feedback,collaborative learning takes place,collaborative learning activity id1,collaborative process takes place,cross curricular cl activity,collaborative learning activities produced","location,camera,classroom,maps,site,ck,inquiry,physical,investigations,field,tracking,unit,map,environment,notes",Evaluating Innovative Collaborative Learning Practice:,"physical location, location-tracking technologies, instrumented learning environments",2015,"set(['classroom', 'loc', 'investig', 'phys', 'map', 'inquir', 'sit', 'environ', 'ck', 'field', 'track', 'not', 'camer', 'unit'])"
